country_name,operational_cycle,sector_name,total_orders,total_impersonated,pct_impersonated,pct_autonomia
ARGENTINA,202605,WAYRA - 1273,295,17,5.762711864406779,94.23728813559322
ARGENTINA,202605, MADRE TIERRA - 1321,335,19,5.6716417910447765,94.32835820895522
ARGENTINA,202605,MOLLE - 735,600,34,5.666666666666666,94.33333333333333
ARGENTINA,202605,CORDILLERA - 1441,71,4,5.633802816901409,94.36619718309859
ARGENTINA,202605,ELEMENTALES - 1208,497,28,5.633802816901409,94.36619718309859
ARGENTINA,202605,AMIRA - 1502,161,9,5.590062111801243,94.40993788819875
ARGENTINA,202605,MANDALA - 993,430,24,5.5813953488372094,94.4186046511628
ARGENTINA,202605,APASIONADOS - 1317,524,29,5.534351145038168,94.46564885496183
ARGENTINA,202605,RAM�� - 1401 ,127,7,5.511811023622047,94.4881889763
ARGENTINA,202605,URANO - 790 ,455,25,5.4945054945054945,94.50549450549451
ARGENTINA,202605,HERA - 822,222,12,5.405405405405405,94.5945945945946
ARGENTINA,202605,DELF��N - 742,408,22,5.392156862745098,94.607843137
ARGENTINA,202605,SAGITARIO - 979,130,7,5.384615384615385,94.61538461538461
ARGENTINA,202605,MAR - 927,279,15,5.376344086021505,94.6236559139785
ARGENTINA,202605,MAGNOLIA - 1340 ,428,23,5.373831775700935,94.62616822429906
ARGENTINA,202605,NAHI DEN - 1341,302,16,5.298013245033113,94.70198675496688
ARGENTINA,202605,ESTRELLAS - 1327,340,18,5.294117647058823,94.70588235294117
ARGENTINA,202605,LOS GIRASOLES - 432 ,211,11,5.213270142180095,94.7867298578199
ARGENTINA,202605,VERDE MAR - 833,307,16,5.211726384364821,94.78827361563518
ARGENTINA,202605,LUPINOS - 974,116,6,5.172413793103448,94.82758620689656
ARGENTINA,202605,PANDORA - 1328,504,26,5.158730158730158,94.84126984126985
ARGENTINA,202605,AFRODITA - 436 ,409,21,5.134474327628362,94.86552567237163
ARGENTINA,202605,TIBUR��N BLANCO - 798,400,20,
ARGENTINA,202605,NATURABLE - 1387,200,10,5,95
ARGENTINA,202605,SASKIA - 1411,141,7,4.964539007092199,95.0354609929078
ARGENTINA,202605,LAS MARAS - 1230,123,6,4.878048780487805,95.1219512195122
ARGENTINA,202605,MERAKI - 1282,371,18,4.8517520215633425,95.14824797843666
ARGENTINA,202605,LATIDOS - 827,125,6,4.8,95.2
ARGENTINA,202605,METANOIA - 1414,189,9,4.761904761904762,95.23809523809524
ARGENTINA,202605,EPUYEN - 206,211,10,4.739336492890995,95.260663507109
ARGENTINA,202605,FLOR - 1450,169,8,4.733727810650888,95.26627218934911
ARGENTINA,202605,COLIBRI - 1539,444,21,4.72972972972973,95.27027027027027
ARGENTINA,202605,REMANSO - 474 ,509,24,4.715127701375246,95.28487229862475
ARGENTINA,202605,YAGRA - 413,382,18,4.712041884816754,95.28795811518324
ARGENTINA,202605,GEA - 491,238,11,4.621848739495799,95.3781512605042
ARGENTINA,202605,NAWI - 1392,479,22,4.592901878914405,95.4070981210856
ARGENTINA,202605,AMARILIS - 1239 ,375,17,4.533333333333333,95.46666666666667
ARGENTINA,202605,ATARDECER - 440,555,25,4.504504504504505,95.49549549549549
ARGENTINA,202605,Essenza - 1314,156,7,4.487179487179487,95.51282051282051
ARGENTINA,202605,CRISOL - 1247,379,17,4.485488126649076,95.51451187335093
ARGENTINA,202605,LIMAY - 204,247,11,4.4534412955465585,95.54655870445345
ARGENTINA,202605,ANKARA - 1486,339,15,4.424778761061947,95.57522123893806
ARGENTINA,202605,INTI - 1251,317,14,4.416403785488959,95.58359621451105
ARGENTINA,202605,ARENA - 1503,206,9,4.368932038834951,95.63106796116504
ARGENTINA,202605,TINKUNACO - 1175,530,23,4.339622641509433,95.66037735849056
ARGENTINA,202605,TESOROS - 1301,327,14,4.281345565749235,95.71865443425077
ARGENTINA,202605,LIMON - 1283,165,7,4.242424242424243,95.75757575757575
ARGENTINA,202605,ELUNEY - 1313,237,10,4.219409282700422,95.78059071729957
ARGENTINA,202605,PUMAS - 1217,191,8,4.18848167539267,95.81151832460733
